taxa,statistic,value,lower,upper
Mmc,sites,57.145385999999995,57.145385999999995,57.145385999999995
Mmc,pi,0.3863192034436516,0.38523230689421883,0.38747681843191484
Mmc,tajima,-0.8218494984153095,-0.8264060629451442,-0.8170035949058602
Mmc,xsi,0.7740892679539751,0.773255019364498,0.7749459366702516
Mmc,div,1.2530512062741166,1.24958259017002,1.2562810156777002
Mmd_fra,sites,60.86182500000001,60.86182500000001,60.86182500000001
Mmd_fra,pi,0.12704934497117035,0.12642553919379396,0.1276950286699494
Mmd_fra,tajima,0.3260310852275255,0.3168622607854794,0.3358123432849058
Mmd_fra,xsi,0.779342261107303,0.7784068484313029,0.7803525139478331
Mmd_fra,div,1.5099514674379215,1.506134987584295,1.5140273094958638
Mmd_ger,sites,60.846549,60.846549,60.846549
Mmd_ger,pi,0.12462882926469118,0.12400785098658373,0.1252817678234778
Mmd_ger,tajima,0.4465075635125893,0.4367284551452122,0.45661512684537175
Mmd_ger,xsi,0.7717476473237596,0.7707377213950485,0.7727258958420832
Mmd_ger,div,1.5155682783587283,1.5117432216815456,1.519118329129608
Mmd_ira,sites,60.79147600000001,60.79147600000001,60.79147600000001
Mmd_ira,pi,0.199468617387521,0.19873069421317527,0.20024623958888543
Mmd_ira,tajima,-0.4184462738271333,-0.42590894515840605,-0.4113353314307936
Mmd_ira,xsi,0.7879242662523178,0.7869350244520552,0.7888054299917933
Mmd_ira,div,1.4395504151305683,1.4361493348262322,1.4431112846016767
Mmm_afg,sites,52.845985,52.845985,52.845985
Mmm_afg,pi,0.10153046201574771,0.10094391222474346,0.10210196075446573
Mmm_afg,tajima,-0.5487872379930152,-0.5589415541121829,-0.5387341702681065
Mmm_afg,xsi,0.8059759899683473,0.8048767862505817,0.8070840933082755
Mmm_afg,div,1.4807861863072473,1.4770522860600024,1.4847609527100962
Mmm_cze,sites,60.45668400000001,60.45668400000001,60.45668400000001
Mmm_cze,pi,0.12086098150316461,0.12021643683725987,0.1214630618083586
Mmm_cze,tajima,0.22491452707748813,0.21500700994133407,0.2348330923420223
Mmm_cze,xsi,0.7997728069180979,0.798826278942626,0.8006833890408945
Mmm_cze,div,1.526625162109453,1.5226908238823782,1.5304613303616283
Mmm_kaz,sites,60.479321,60.479321,60.479321
Mmm_kaz,pi,0.122956379310762,0.12231345704633034,0.12354576444860747
Mmm_kaz,tajima,0.15179232308180068,0.14184825808752433,0.16147029435992227
Mmm_kaz,xsi,0.7826956503601962,0.7816585628689237,0.7838005076276829
Mmm_kaz,div,1.5422281195567655,1.5385068873634535,1.5459445501373679
Ms,sites,56.68045,56.68045,56.68045
Ms,pi,0.20287075761278067,0.20200308481573334,0.20368978503334514
Ms,tajima,0.3955652617145676,0.3881835767423596,0.4035355849366151
Ms,xsi,0.7637669024851589,0.7628367881443986,0.7647271774071749
Ms,div,1.5420115277578073,1.5387022757846252,1.5458121988152809
